City,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL,Year
BROOKSIDE,,,,4,0,124,5,,,0,,0,,137,2019
BROOKSIDE,,,,46,0,125,0,,,0,,0,,187,2019
BROOKSIDE,,,,15,0,6,0,,,0,,0,,21,2019
BRYCE CANYON,,,,0,0,3,0,,,0,,0,,3,2019
BRYCE CANYON,,,,0,0,56,5,,,0,,0,,62,2019
BRYCE CANYON,,,,15,0,59,0,,,0,,0,,83,2019
BRYCE CANYON,,,,2,0,0,0,,,0,,0,,2,2019
CANNONVILLE,,,,0,0,1,0,,,0,,0,,1,2019
CANNONVILLE,,,,1,0,63,0,,,0,,0,,71,2019
CANNONVILLE,,,,40,0,81,0,,,0,,0,,129,2019
CANNONVILLE,,,,18,0,1,0,,,0,,0,,19,2019
CASTLE DALE,,,,0,0,32,0,,,0,,0,,32,2019
CASTLE DALE,,,,5,0,666,9,,,0,,0,,729,2019
CASTLE DALE,,,,243,0,687,3,,,0,,0,,1026,2019
CASTLE DALE,,,,88,0,9,0,,,0,,0,,97,2019
CASTLE VALLEY,,,,0,0,26,0,,,0,,0,,26,2019
CASTLE VALLEY,,,,3,1,152,5,,,0,,0,,163,2019
CASTLE VALLEY,,,,42,0,234,1,,,0,,0,,305,2019
CASTLE VALLEY,,,,9,0,3,0,,,0,,0,,12,2019
CEDAR CITY,,,,0,0,6,0,,,0,,0,,6,2019
CEDAR CITY,,,,2,0,7,0,,,0,,0,,9,2019
CEDAR FORT,,,,0,0,1,0,,,0,,0,,1,2019
CEDAR FORT,,,,1,0,1,0,,,0,,0,,2,2019
CEDAR HILLS,,,,0,0,240,0,,,0,,0,,240,2019
CEDAR HILLS,,,,31,29,3673,125,,,0,,0,,4011,2019
CEDAR HILLS,,,,216,1,2246,38,,,0,,0,,2855,2019
CEDAR HILLS,,,,47,0,11,0,,,0,,0,,59,2019
