Year,City,Vehicle Type,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
2021,TOQUERVILLE,Passenger - Standard,0,7,19,3,713,47,0,0,0,4,0,0,793
2021,TOQUERVILLE,Light Truck,0,2,194,0,813,11,0,0,0,0,0,0,1020
2021,TOQUERVILLE,Heavy Truck,0,0,23,0,23,0,0,0,0,0,0,0,46
2021,TORREY,Motorcycle - Standard,0,0,0,0,30,0,0,0,0,0,0,0,30
2021,TORREY,Passenger - Standard,0,0,3,2,209,9,0,0,0,1,0,0,224
2021,TORREY,Light Truck,0,0,100,0,317,2,0,0,0,0,0,0,419
2021,TORREY,Heavy Truck,0,0,9,0,2,0,0,0,0,0,0,0,11
2021,TREMONTON,Motorcycle - Standard,0,0,0,0,320,0,0,0,0,0,0,0,320
2021,TREMONTON,Passenger - Standard,0,25,77,13,5202,94,0,0,0,13,0,0,5424
2021,TREMONTON,Light Truck,0,13,1526,1,4816,22,0,0,0,0,0,0,6378
2021,TREMONTON,Heavy Truck,0,0,638,0,105,0,0,0,0,0,0,0,743
2021,TRENTON,Motorcycle - Standard,0,0,0,0,7,0,0,0,0,0,0,0,7
2021,TRENTON,Passenger - Standard,0,1,1,1,211,7,0,0,0,0,0,0,221
2021,TRENTON,Light Truck,0,0,52,0,213,1,0,0,0,0,0,0,266
2021,TRENTON,Heavy Truck,0,0,27,0,5,0,0,0,0,0,0,0,32
2021,TRIDELL,Motorcycle - Standard,0,0,0,0,5,0,0,0,0,0,0,0,5
2021,TRIDELL,Passenger - Standard,0,0,0,0,134,2,0,0,0,0,0,0,136
2021,TRIDELL,Light Truck,0,0,30,0,169,0,0,0,0,0,0,0,199
2021,TRIDELL,Heavy Truck,0,0,9,0,0,0,0,0,0,0,0,0,9
2021,TROPIC,Motorcycle - Standard,0,0,0,0,3,0,0,0,0,0,0,0,3
2021,TROPIC,Passenger - Standard,0,0,3,1,163,5,0,0,0,0,0,0,172
2021,TROPIC,Light Truck,0,1,96,0,268,1,0,0,0,0,0,0,366
2021,TROPIC,Heavy Truck,0,0,13,0,3,0,0,0,0,0,0,0,16
2021,UINTAH,Motorcycle - Standard,0,0,0,0,45,0,0,0,0,0,0,0,45
2021,UINTAH,Passenger - Standard,0,0,6,1,330,13,0,0,0,0,0,0,350
2021,UINTAH,Light Truck,0,1,69,1,345,2,0,0,0,0,0,0,418
2021,UINTAH,Heavy Truck,0,0,26,0,8,0,0,0,0,0,0,0,34
2021,VENICE,Motorcycle - Standard,0,0,0,0,11,0,0,0,0,0,0,0,11
2021,VENICE,Passenger - Standard,0,1,0,0,114,1,0,0,0,0,0,0,116
2021,VENICE,Light Truck,0,1,56,0,145,0,0,0,0,0,0,0,202
2021,VENICE,Heavy Truck,0,0,30,0,5,0,0,0,0,0,0,0,35
2021,VERNAL,Motorcycle - Standard,0,0,0,0,929,0,0,0,0,0,0,0,929
2021,VERNAL,Passenger - Standard,0,18,129,11,8657,103,0,0,0,8,0,0,8926
2021,VERNAL,Light Truck,0,24,3263,1,13467,25,0,0,0,3,3,0,16786
2021,VERNAL,Heavy Truck,0,3,1879,0,325,0,0,0,0,0,21,0,2228
2021,VERNON,Motorcycle - Standard,0,0,0,0,2,0,0,0,0,0,0,0,2
2021,VERNON,Passenger - Standard,0,0,0,0,130,2,0,0,0,0,0,0,132
2021,VERNON,Light Truck,0,0,53,0,130,0,0,0,0,0,0,0,183
2021,VERNON,Heavy Truck,0,0,12,0,5,0,0,0,0,0,0,0,17
2021,VEYO,Motorcycle - Standard,0,0,0,0,21,0,0,0,0,0,0,0,21
2021,VEYO,Passenger - Standard,0,2,11,0,216,8,0,0,0,1,0,0,238
2021,VEYO,Light Truck,0,1,103,0,302,1,0,0,0,0,0,0,407
2021,VEYO,Heavy Truck,0,0,29,0,0,0,0,0,0,0,0,0,29
2021,VINEYARD,Motorcycle - Standard,0,0,0,1,161,0,0,0,0,0,0,0,162
2021,VINEYARD,Passenger - Standard,0,5,33,58,2880,130,0,0,0,26,0,0,3132
2021,VINEYARD,Light Truck,0,4,134,12,2926,42,0,0,0,6,0,0,3124
2021,VINEYARD,Heavy Truck,0,0,36,0,19,0,0,0,0,0,0,0,55
2021,VIRGIN,Motorcycle - Standard,0,0,0,0,25,0,0,0,0,0,0,0,25
2021,VIRGIN,Passenger - Standard,0,0,11,2,279,12,0,0,0,0,0,0,304
2021,VIRGIN,Light Truck,0,2,87,0,459,2,0,0,0,1,0,0,551
2021,VIRGIN,Heavy Truck,0,0,28,0,10,0,0,0,0,0,0,0,38
2021,WALES,Motorcycle - Standard,0,0,0,0,7,0,0,0,0,0,0,0,7
2021,WALES,Passenger - Standard,0,2,1,0,208,2,0,0,0,1,0,0,214
2021,WALES,Light Truck,0,1,61,0,219,1,0,0,0,0,0,0,282
2021,WALES,Heavy Truck,0,0,18,0,2,0,0,0,0,0,0,0,20
2021,WALLSBURG,Motorcycle - Standard,0,0,0,0,31,0,0,0,0,0,0,0,31
2021,WALLSBURG,Passenger - Standard,0,1,4,0,353,4,0,0,0,0,0,0,362
2021,WALLSBURG,Light Truck,0,3,207,0,481,2,0,0,0,0,0,0,693
2021,WALLSBURG,Heavy Truck,0,0,29,0,5,0,0,0,0,0,0,0,34
2021,WANSHIP,Motorcycle - Standard,0,0,0,0,54,0,0,0,0,0,0,0,54
2021,WANSHIP,Passenger - Standard,0,0,10,4,324,12,0,0,0,0,0,0,350
