Year,City,Vehicle Type,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
2020,PARAGONAH,Light Truck,0,0,117,0,402,1,0,0,0,0,0,520
2020,PARAGONAH,Heavy Truck,0,0,25,0,6,0,0,0,0,0,0,31
2020,PARK CITY,Motorcycle - Standard,0,0,0,0,1346,0,0,0,0,0,0,1346
2020,PARK CITY,Passenger - Low Speed,0,0,0,3,0,0,0,0,0,0,0,3
2020,PARK CITY,Passenger - Standard,0,21,211,281,12778,255,0,0,66,0,0,13612
2020,PARK CITY,Light Truck,0,18,1562,105,18882,338,0,0,70,0,0,20975
2020,PARK CITY,Heavy Truck,0,8,534,7,164,0,0,0,0,2,0,715
2020,PARK VALLEY,Passenger - Standard,0,0,0,0,60,1,0,0,0,0,0,61
2020,PARK VALLEY,Light Truck,0,0,50,0,80,0,0,0,0,0,0,130
2020,PARK VALLEY,Heavy Truck,0,0,42,0,0,0,0,0,0,0,0,42
2020,PAROWAN,Motorcycle - Standard,0,0,0,1,135,0,0,0,0,0,0,136
2020,PAROWAN,Passenger - Low Speed,0,0,0,1,0,0,0,0,0,0,0,1
2020,PAROWAN,Passenger - Standard,0,5,34,1,1397,27,0,0,1,0,0,1465
2020,PAROWAN,Light Truck,0,1,445,0,1877,9,0,0,0,0,0,2332
2020,PAROWAN,Heavy Truck,0,0,137,0,27,0,0,0,0,0,0,164
2020,PAYSON,Motorcycle - Standard,0,0,0,0,465,0,0,0,0,0,0,465
2020,PAYSON,Passenger - Low Speed,0,0,0,1,0,0,0,0,0,0,0,1
2020,PAYSON,Passenger - Standard,0,30,90,9,8591,167,0,0,14,0,0,8901
2020,PAYSON,Light Truck,0,17,1326,0,6804,31,0,0,3,0,0,8181
2020,PAYSON,Heavy Truck,0,3,354,0,75,0,0,0,0,4,0,436
2020,PEOA,Motorcycle - Standard,0,0,0,0,16,0,0,0,0,0,0,16
2020,PEOA,Passenger - Standard,0,0,2,0,187,0,0,0,0,0,0,189
2020,PEOA,Light Truck,0,1,89,0,261,2,0,0,0,0,0,353
2020,PEOA,Heavy Truck,0,0,23,0,4,0,0,0,0,0,0,27
2020,PERRY,Motorcycle - Standard,0,0,0,0,161,0,0,0,0,0,0,161
2020,PERRY,Passenger - Standard,0,16,17,8,2367,53,0,0,7,0,0,2468
2020,PERRY,Light Truck,0,10,389,1,1953,16,0,0,1,0,0,2370
2020,PERRY,Heavy Truck,0,0,66,0,29,0,0,0,0,0,0,95
2020,PINE VALLEY,Motorcycle - Standard,0,0,0,0,13,0,0,0,0,0,0,13
2020,PINE VALLEY,Passenger - Standard,0,1,0,1,102,7,0,0,0,0,0,111
2020,PINE VALLEY,Light Truck,0,0,34,0,181,0,0,0,0,0,0,215
2020,PINE VALLEY,Heavy Truck,0,0,10,0,0,0,0,0,0,0,0,10
2020,PLAIN CITY,Motorcycle - Standard,0,0,0,0,179,0,0,0,0,0,0,179
2020,PLAIN CITY,Passenger - Low Speed,0,0,0,0,1,0,0,0,0,0,0,1
2020,PLAIN CITY,Passenger - Standard,0,4,26,9,2338,29,0,0,10,0,0,2416
2020,PLAIN CITY,Light Truck,0,6,647,0,2270,12,0,0,0,0,0,2935
2020,PLAIN CITY,Heavy Truck,0,0,104,0,35,0,0,0,0,0,0,139
2020,PLEASANT GROVE,Motorcycle - Standard,0,0,0,2,861,0,0,0,0,0,0,863
2020,PLEASANT GROVE,Passenger - Low Speed,0,0,0,0,1,0,0,0,0,0,0,1
2020,PLEASANT GROVE,Passenger - Standard,0,48,118,76,13917,399,0,0,46,0,0,14604
2020,PLEASANT GROVE,Light Truck,0,27,1137,5,10544,81,0,0,2,0,0,11796
2020,PLEASANT GROVE,Heavy Truck,0,2,441,0,197,0,0,0,0,0,0,640
2020,PLEASANT VIEW,Motorcycle - Standard,0,0,0,0,266,0,0,0,0,0,0,266
2020,PLEASANT VIEW,Passenger - Standard,0,5,31,11,3366,93,0,0,12,0,0,3518
2020,PLEASANT VIEW,Light Truck,0,8,426,3,2847,26,0,0,2,0,0,3312
2020,PLEASANT VIEW,Heavy Truck,0,0,91,0,42,0,0,0,0,0,0,133
2020,PLYMOUTH,Motorcycle - Standard,0,0,0,0,18,0,0,0,0,0,0,18
2020,PLYMOUTH,Passenger - Standard,0,0,3,2,248,3,0,0,0,0,0,256
2020,PLYMOUTH,Light Truck,0,0,89,0,173,1,0,0,0,0,0,263
2020,PLYMOUTH,Heavy Truck,0,0,17,0,3,0,0,0,0,0,0,20
2020,PORTAGE,Motorcycle - Standard,0,0,0,0,10,0,0,0,0,0,0,10
2020,PORTAGE,Passenger - Standard,0,0,0,0,156,4,0,0,0,0,0,160
2020,PORTAGE,Light Truck,0,1,60,0,109,0,0,0,0,0,0,170
2020,PORTAGE,Heavy Truck,0,0,7,0,2,0,0,0,0,0,0,9
2020,PRICE,Motorcycle - Standard,0,0,0,0,397,0,0,0,0,0,0,397
2020,PRICE,Passenger - Standard,0,16,51,1,5817,79,0,0,6,0,0,5970
2020,PRICE,Light Truck,0,23,1323,1,5966,14,0,0,0,0,0,7327
2020,PRICE,Heavy Truck,0,0,492,0,137,0,0,0,0,1,0,630
2020,PROVIDENCE,Motorcycle - Standard,0,0,0,0,229,1,0,0,0,0,0,230
2020,PROVIDENCE,Passenger - Standard,0,6,22,14,2784,82,0,0,5,0,0,2913
2020,PROVIDENCE,Light Truck,0,4,292,1,2883,31,0,0,1,0,0,3212
2020,PROVIDENCE,Heavy Truck,0,0,65,0,31,0,0,0,0,0,0,96
2020,PROVO,Motorcycle - Standard,0,0,0,5,2074,0,0,0,0,0,0,2079
2020,PROVO,Passenger - Low Speed,0,0,0,10,0,0,0,0,0,0,0,10
2020,PROVO,Passenger - Standard,0,78,261,186,35820,1203,0,0,117,0,0,37665
2020,PROVO,Light Truck,0,58,1477,30,22623,274,0,1,18,2,0,24483
2020,PROVO,Heavy Truck,0,6,877,0,282,0,0,0,0,7,0,1172
2020,RANDLETT,Motorcycle - Standard,0,0,0,0,15,0,0,0,0,0,0,15
2020,RANDLETT,Passenger - Standard,0,0,0,0,174,1,0,0,0,0,0,175
2020,RANDLETT,Light Truck,0,0,56,0,240,0,0,0,0,0,0,296
2020,RANDLETT,Heavy Truck,0,0,30,0,3,0,0,0,0,0,0,33
2020,RANDOLPH,Motorcycle - Standard,0,0,0,0,13,0,0,0,0,0,0,13
2020,RANDOLPH,Passenger - Standard,0,2,4,0,314,1,0,0,0,0,0,321
2020,RANDOLPH,Light Truck,0,0,176,0,374,1,0,0,0,0,0,551
2020,RANDOLPH,Heavy Truck,0,0,67,0,8,0,0,0,0,0,0,75
2020,REDMOND,Motorcycle - Standard,0,0,0,0,17,0,0,0,0,0,0,17
2020,REDMOND,Passenger - Standard,0,2,5,0,380,2,0,0,0,0,0,389
2020,REDMOND,Light Truck,0,3,150,0,480,0,0,0,0,0,0,633
2020,REDMOND,Heavy Truck,0,0,69,0,18,0,0,0,0,0,0,87
2020,RICHFIELD,Motorcycle - Standard,0,0,0,0,197,0,0,0,0,0,0,197
2020,RICHFIELD,Passenger - Standard,0,21,19,0,3439,45,0,0,1,0,0,3525
2020,RICHFIELD,Light Truck,0,12,749,0,3505,12,0,0,1,0,0,4279
2020,RICHFIELD,Heavy Truck,0,4,496,0,89,0,0,0,0,0,0,589
2020,RICHMOND,Motorcycle - Standard,0,0,0,0,76,0,0,0,0,0,0,76
2020,RICHMOND,Passenger - Standard,0,3,14,3,1146,15,0,0,2,0,0,1183
2020,RICHMOND,Light Truck,0,3,175,0,1112,7,0,0,0,0,0,1297
2020,RICHMOND,Heavy Truck,0,0,95,0,19,0,0,0,0,0,0,114
2020,RIVER HEIGHTS,Motorcycle - Standard,0,0,0,0,64,0,0,0,0,0,0,64
2020,RIVER HEIGHTS,Passenger - Standard,0,2,7,6,583,12,0,0,4,0,0,614
2020,RIVER HEIGHTS,Light Truck,0,1,41,1,598,3,0,0,0,0,0,644
2020,RIVER HEIGHTS,Heavy Truck,0,0,13,0,6,0,0,0,0,0,0,19
2020,RIVERDALE,Motorcycle - Standard,0,0,0,0,213,0,0,1,0,0,0,214
2020,RIVERDALE,Passenger - Standard,0,8,16,9,2927,64,0,0,6,0,0,3030
2020,RIVERDALE,Light Truck,0,0,250,0,2139,7,0,0,0,0,0,2396
2020,RIVERDALE,Heavy Truck,0,10,105,0,35,0,0,0,0,0,0,150
2020,RIVERSIDE,Motorcycle - Standard,0,0,0,0,10,0,0,0,0,0,0,10
2020,RIVERSIDE,Passenger - Standard,0,2,1,0,151,3,0,0,0,0,0,157
2020,RIVERSIDE,Light Truck,0,0,62,0,171,0,0,0,0,0,0,233
2020,RIVERSIDE,Heavy Truck,0,0,23,0,3,0,0,0,0,0,0,26
