City,Vehicle Type,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
TROPIC,Motorcycle - Standard,0,0,0,0,0,2,0,0,0,0,0,0,0,2
TROPIC,Passenger - Standard,0,0,0,4,1,150,4,0,0,0,0,0,0,159
TROPIC,Light Truck,0,0,0,104,1,301,3,0,0,0,1,0,0,410
TROPIC,Heavy Truck,0,0,0,17,0,5,0,0,0,0,0,0,0,22
UINTAH,Motorcycle - Standard,0,0,0,0,0,47,0,0,0,0,0,0,0,47
UINTAH,Passenger - Standard,0,0,0,5,2,315,8,0,0,0,0,0,0,330
UINTAH,Light Truck,0,0,0,64,3,385,6,0,0,0,1,0,0,459
UINTAH,Heavy Truck,0,0,0,31,0,7,0,0,0,0,0,0,0,38
VENICE,Motorcycle - Standard,0,0,0,0,0,12,0,0,0,0,0,0,0,12
VENICE,Passenger - Standard,0,0,1,0,0,129,2,0,0,0,0,0,0,132
VENICE,Light Truck,0,0,1,60,0,163,0,0,0,0,0,0,0,224
VENICE,Heavy Truck,0,0,0,35,0,5,0,0,0,0,0,0,0,40
VERNAL,Motorcycle - Standard,0,0,0,0,1,1103,0,0,0,0,0,0,0,1104
VERNAL,Passenger - Standard,0,0,14,138,30,8432,123,0,0,0,10,0,0,8747
VERNAL,Light Truck,0,0,21,3587,9,15009,95,0,0,0,11,1,0,18733
VERNAL,Heavy Truck,0,0,3,2180,0,397,0,0,0,0,0,27,0,2607
VERNON,Motorcycle - Standard,0,0,0,0,0,9,0,0,0,0,0,0,0,9
VERNON,Passenger - Standard,0,0,0,3,0,117,2,0,0,0,0,0,0,122
VERNON,Light Truck,0,0,0,58,0,137,0,0,0,0,0,0,0,195
VERNON,Heavy Truck,0,0,0,8,0,7,0,0,0,0,0,0,0,15
VEYO,Motorcycle - Standard,0,0,0,0,0,18,0,0,0,0,0,0,0,18
VEYO,Passenger - Standard,0,0,0,6,1,218,10,0,0,0,2,0,0,237
VEYO,Light Truck,0,0,0,110,2,333,4,0,0,0,1,0,0,450
VEYO,Heavy Truck,0,0,0,36,0,4,0,0,0,0,0,0,0,40
VINEYARD,Motorcycle - Standard,0,0,0,0,2,240,0,0,0,0,0,0,0,242
VINEYARD,Passenger - Standard,0,0,4,25,123,3420,183,0,0,1,27,0,0,3783
VINEYARD,Light Truck,0,0,5,162,102,4053,118,0,0,0,23,0,0,4463
VINEYARD,Heavy Truck,0,0,0,54,0,31,0,0,0,0,0,0,0,85
VIRGIN,Motorcycle - Standard,0,0,0,0,0,44,0,0,0,0,0,0,0,44
VIRGIN,Passenger - Standard,0,0,0,9,2,284,9,0,0,0,1,0,0,305
VIRGIN,Light Truck,0,0,1,98,2,497,5,0,0,0,2,0,0,605
VIRGIN,Heavy Truck,0,0,0,32,0,7,0,0,0,0,0,0,0,39
WALES,Motorcycle - Standard,0,0,0,0,0,11,0,0,0,0,0,0,0,11
WALES,Passenger - Standard,0,0,1,1,3,194,2,0,0,0,1,0,0,202
WALES,Light Truck,0,0,1,77,0,221,2,0,0,0,0,0,0,301
WALES,Heavy Truck,0,0,0,19,0,2,0,0,0,0,0,0,0,21
WALLSBURG,Motorcycle - Standard,0,0,0,0,0,28,0,0,0,0,0,0,0,28
WALLSBURG,Passenger - Standard,0,0,0,5,1,338,5,0,0,0,0,0,0,349
WALLSBURG,Light Truck,0,0,2,248,2,529,5,0,0,0,0,0,0,786
